loss,cer
0.1278845665056387,0.4578313253012048
0.17244198689360032,0.5464249572909979
0.1730735798132303,0.5425618212067664
0.1730371629552292,0.5420144599249077
0.1730220408077781,0.5426552036622067
0.17226860814382308,0.5406086177704197
0.17288287435777946,0.5421968846854941
0.173229762539777,0.5423300549224911
0.17253804381108304,0.5407468569381046
0.1727929830267941,0.5406970592024145
0.17276744166838165,0.5405424516129033
0.17278586396344625,0.5396328426111423
0.17284411571014044,0.539709360980531
0.1728224177860514,0.5393881286498736
0.1725939167660572,0.5385803526752783
0.17240647641563822,0.537783266933368
0.17234249187155715,0.5372825792171467
0.17209055765353287,0.5364515923121582
0.17202841502340369,0.5357596254140209
0.1718916847485529,0.5349990003072227
